continent,year,co2,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,co2_per_capita,land_use_change_co2,primary_energy_consumption,temperature_change_from_co2,temperature_change_from_ch4,temperature_change_from_n2o,temperature_change_from_ghg
Africa,1980,535.678,14.673,212.398,76.248,34.632,197.728,0.0,1.114,597.957,1692.144,0.036,0.026,0.004,0.066
Africa,1981,548.571,15.928,237.34,52.539,29.401,213.362,0.0,1.108,657.816,1898.898,0.037,0.027,0.004,0.068
Africa,1982,571.727,17.024,250.232,44.95,23.985,235.536,0.0,1.122,598.486,2023.654,0.037,0.027,0.004,0.069
Africa,1983,594.561,18.731,260.943,41.279,30.431,243.177,0.0,1.133,894.725,2083.755,0.038,0.028,0.005,0.07
Africa,1984,649.325,19.462,286.063,45.564,47.57,250.666,0.0,1.204,1117.343,2148.277,0.039,0.029,0.005,0.072
Africa,1985,665.686,19.119,294.697,51.4,48.848,251.621,0.0,1.2,1259.781,2235.495,0.04,0.029,0.005,0.073
Africa,1986,689.698,18.417,305.787,53.018,58.357,254.118,0.0,1.208,953.791,2281.272,0.04,0.03,0.005,0.075
Africa,1987,689.703,20.019,312.518,44.862,67.872,244.433,0.0,1.175,920.204,2354.796,0.041,0.03,0.005,0.076
Africa,1988,724.697,21.568,322.719,49.233,68.952,262.225,0.0,1.201,883.049,2520.53,0.042,0.031,0.005,0.078
Africa,1989,697.797,22.508,313.482,22.048,71.403,268.357,0.0,1.125,864.726,2524.404,0.043,0.031,0.005,0.079
Africa,1990,658.281,22.755,295.753,20.795,75.954,243.024,0.0,1.033,967.456,2608.015,0.043,0.032,0.005,0.081
Africa,1991,687.829,24.384,306.648,20.799,78.466,257.532,0.0,1.052,959.187,2605.118,0.044,0.033,0.005,0.082
Africa,1992,666.901,24.768,288.434,23.351,74.272,256.077,0.0,0.994,1187.251,2644.381,0.045,0.033,0.005,0.084
Africa,1993,706.661,24.414,318.584,21.79,81.721,260.152,0.0,1.027,1260.735,2651.666,0.046,0.034,0.006,0.086
Africa,1994,790.281,24.884,330.423,92.812,85.589,256.573,0.0,1.12,1391.178,2741.011,0.047,0.035,0.006,0.087
Africa,1995,844.557,26.9,346.584,104.283,101.556,265.234,0.0,1.168,1401.911,2851.845,0.048,0.036,0.006,0.09
Africa,1996,872.321,27.419,352.718,119.662,108.019,264.502,0.0,1.176,1300.705,2924.537,0.049,0.037,0.006,0.092
Africa,1997,893.989,27.539,360.178,107.882,95.206,303.184,0.0,1.176,1330.517,2986.506,0.05,0.038,0.006,0.094
Africa,1998,912.442,28.57,354.754,101.273,112.712,315.133,0.0,1.172,1431.628,3032.832,0.051,0.039,0.006,0.096
Africa,1999,899.677,29.73,365.712,96.476,114.377,293.382,0.0,1.128,1274.92,3125.787,0.052,0.04,0.006,0.098
Africa,2000,930.043,30.897,369.186,103.38,114.35,312.23,0.0,1.137,1199.457,3196.057,0.052,0.041,0.007,0.1
Africa,2001,919.543,32.412,370.875,98.2,120.126,297.93,0.0,1.097,1270.841,3310.455,0.053,0.042,0.007,0.102
Africa,2002,899.274,34.928,360.04,82.498,134.355,287.454,0.0,1.046,1594.56,3353.255,0.054,0.043,0.007,0.104
Africa,2003,988.565,35.273,389.827,91.857,145.781,325.827,0.0,1.122,1639.127,3515.312,0.056,0.044,0.007,0.106
Africa,2004,1044.867,38.021,416.583,88.024,152.687,349.551,0.0,1.157,1513.779,3774.621,0.057,0.045,0.007,0.109
Africa,2005,1063.18,41.903,411.34,85.869,183.638,340.43,0.0,1.147,1393.448,3785.477,0.058,0.046,0.007,0.111
Africa,2006,1092.166,45.735,417.527,80.201,179.343,369.361,0.0,1.149,1366.815,3858.375,0.059,0.047,0.007,0.114
Africa,2007,1122.721,49.202,428.376,70.941,192.323,381.88,0.0,1.151,1500.003,4006.39,0.06,0.048,0.008,0.116
Africa,2008,1175.62,51.817,452.062,71.028,195.08,405.632,0.0,1.175,1714.935,4245.486,0.061,0.05,0.008,0.118
Africa,2009,1173.163,58.048,421.882,66.474,191.714,435.045,0.0,1.143,2014.71,4317.645,0.062,0.051,0.008,0.121
Africa,2010,1215.374,59.657,427.883,69.368,201.908,456.557,0.0,1.153,2277.717,4454.202,0.064,0.052,0.008,0.123
Africa,2011,1255.084,58.925,420.703,67.14,221.727,486.589,0.0,1.161,2481.933,4492.596,0.065,0.053,0.008,0.126
Africa,2012,1255.852,63.744,425.732,65.086,234.034,467.255,0.0,1.132,2206.099,4674.143,0.066,0.054,0.008,0.128
Africa,2013,1265.47,65.686,425.527,62.478,236.613,475.166,0.0,1.111,1939.35,4807.251,0.068,0.055,0.009,0.131
Africa,2014,1344.915,70.034,439.206,60.937,239.099,535.639,0.0,1.151,1608.325,4939.468,0.069,0.055,0.009,0.133
Africa,2015,1319.787,74.038,417.184,61.323,253.874,513.369,0.0,1.1,1464.187,5045.052,0.07,0.056,0.009,0.136
Africa,2016,1355.494,77.352,424.01,57.904,269.761,526.466,0.0,1.102,1461.667,5186.279,0.072,0.057,0.009,0.138
Africa,2017,1369.71,75.881,417.888,60.308,284.41,531.222,0.0,1.086,1480.333,5359.562,0.073,0.058,0.009,0.14
Africa,2018,1357.075,77.317,414.995,59.539,287.449,517.776,0.0,1.049,1226.966,5491.605,0.074,0.059,0.01,0.142
Africa,2019,1457.568,78.396,455.446,60.451,308.495,554.781,0.0,1.099,1065.326,5610.236,0.075,0.059,0.01,0.144
Africa,2020,1356.436,76.459,428.24,54.769,304.783,492.185,0.0,0.998,1154.762,5317.983,0.076,0.06,0.01,0.147
Africa,2021,1435.214,84.853,421.09,56.723,335.593,536.955,0.0,1.031,1188.655,5765.107,0.078,0.061,0.01,0.149
Africa,2022,1416.627,85.509,401.602,54.754,322.712,552.049,0.0,0.994,1115.87,5819.716,0.079,0.062,0.01,0.151
Africa,1980,535.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1981,548.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1982,571.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1983,594.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1984,649.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1985,665.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1986,689.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
